measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2,gm1,gm2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839,0.0,0.0
calibration correction mbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-11 17:59:16.738,72.18,21.87,5.7,1.52,1.21,1.35,0.92,0.66,0.55,80.43,0.7,0.67,-0.96,8.32,7.89,-0.5,59.93,40.66,2.57,0.69,2.18,40.53,39.1,4.7,0.8,0.65,0.58,0.51,0.36,117.02,100.64,85.4,60.07,33.26,11.6,8.56,27.94,28.67,6.03,6.01,4.41,3.47,62.25,124.75
2025-09-11 17:59:16.962,73.82,22.48,6.11,1.93,1.86,1.51,1.49,0.99,0.87,83.29,1.93,3.12,0.46,8.89,8.13,0.16,62.18,42.7,4.4,3.14,2.36,42.38,41.76,5.02,0.88,0.9,0.82,0.76,0.85,117.43,114.09,89.07,63.35,34.89,13.03,9.57,30.18,26.42,6.27,6.01,4.57,3.51,62.25,124.75
2025-09-11 17:59:17.212,72.59,21.87,5.5,1.52,1.45,1.51,0.83,0.82,0.79,82.88,1.32,2.1,0.05,8.64,8.13,-0.09,63.2,42.5,4.6,3.35,2.3,41.35,41.35,4.82,0.88,0.81,0.78,0.8,0.69,118.64,114.5,90.7,62.53,35.29,13.65,9.37,28.35,28.26,6.35,6.14,4.66,3.8,62.25,124.75
2025-09-11 17:59:17.461,73.41,21.87,5.29,1.44,1.45,1.68,1.0,1.15,1.2,83.7,1.73,2.51,-0.15,8.89,8.13,0.4,63.41,42.7,5.62,2.73,2.4,41.56,40.74,4.94,0.92,0.9,0.91,0.72,0.73,119.05,116.94,90.29,63.35,35.5,14.06,9.98,29.98,29.69,6.11,6.1,4.82,3.76,62.25,124.75
2025-09-11 17:59:17.739,75.86,22.68,6.92,2.01,2.02,1.92,1.57,1.15,1.2,83.29,1.32,1.69,-0.56,8.4,7.56,-0.33,60.75,41.27,3.18,1.1,2.42,39.3,38.9,4.45,0.63,0.57,0.58,0.47,0.44,117.02,110.42,87.03,60.89,33.46,12.01,8.35,25.49,22.54,5.38,5.61,4.41,3.43,62.25,124.75
2025-09-11 17:59:17.962,71.36,21.05,4.89,1.52,1.29,1.51,1.16,1.07,1.03,82.47,1.32,2.1,0.67,9.05,8.05,0.07,62.59,43.31,4.6,1.92,2.69,41.15,40.33,5.18,0.88,0.94,0.91,0.88,0.89,120.67,112.46,89.48,64.16,34.68,13.65,10.18,27.94,23.97,6.19,6.06,4.94,3.92,62.25,124.75
