measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839
calibration correction mbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20 14:42:08.702,75.86,22.48,4.08,0.47,0.48,0.61,-0.22,-0.24,-0.34,84.92,0.5,1.08,0.26,14.11,13.01,0.32,64.43,46.18,6.84,1.1,4.71,40.74,38.9,9.82,-0.38,-0.41,-0.36,-0.58,-0.66,123.51,120.61,95.19,68.67,40.38,19.37,15.68,35.49,32.96,8.96,8.34,5.68,3.96
2025-08-20 14:42:08.985,74.64,21.87,3.26,0.39,0.07,0.13,-0.39,-0.65,-0.75,83.29,-0.72,0.06,-0.35,13.86,12.44,-0.33,63.2,43.72,4.81,0.29,4.48,39.71,38.28,9.62,-0.63,-0.62,-0.64,-0.75,-0.78,122.7,111.24,92.74,67.03,39.98,19.37,13.64,32.02,28.87,8.96,8.34,5.51,3.88
2025-08-20 14:42:09.202,73.41,22.07,3.26,0.47,0.4,0.29,0.18,-0.73,-0.59,84.11,0.7,0.47,0.05,14.11,12.77,0.07,64.43,44.95,6.64,1.71,4.48,40.94,39.92,9.74,-0.54,-0.49,-0.52,-0.62,-0.82,124.72,111.24,95.6,69.9,41.4,21.21,14.86,32.63,28.67,9.29,8.58,5.88,4.0
2025-08-20 14:42:09.451,77.91,23.3,4.69,1.28,0.72,1.1,0.1,-0.24,-0.18,85.33,1.32,1.89,0.67,14.11,12.52,0.16,65.86,46.79,7.25,2.33,4.64,41.56,40.12,9.7,-0.34,-0.41,-0.36,-0.5,-0.54,125.13,117.76,96.0,70.71,40.59,19.57,15.07,32.22,27.65,9.04,8.42,5.59,4.08
2025-08-20 14:42:09.702,76.68,22.89,4.69,1.2,1.29,1.19,0.43,-0.08,-0.18,84.92,1.93,1.89,0.87,13.7,12.44,0.4,65.65,46.18,7.25,2.33,4.71,41.35,39.72,9.66,-0.34,-0.33,-0.36,-0.5,-0.46,124.72,117.35,96.0,69.49,39.98,19.78,14.05,33.24,30.3,8.8,8.3,5.72,3.92
2025-08-20 14:42:09.952,77.5,24.52,5.7,1.2,1.21,1.02,0.26,-0.16,-0.1,85.74,1.52,2.1,0.87,13.78,12.52,0.16,65.86,45.97,7.05,1.92,4.52,41.35,41.76,9.49,-0.46,-0.45,-0.36,-0.38,-0.5,124.32,112.05,95.19,67.44,40.59,18.76,14.86,35.08,31.94,8.72,8.42,5.68,4.08
2025-08-20 14:42:10.201,77.09,23.5,4.28,0.79,0.8,0.45,-0.22,-0.4,-0.26,86.15,1.11,1.69,0.46,13.62,12.36,0.16,65.04,45.56,6.84,1.71,4.6,41.15,40.74,9.53,-0.34,-0.37,-0.44,-0.62,-0.62,124.72,116.94,93.15,67.44,38.35,18.35,14.86,35.08,29.08,8.72,8.26,5.64,3.84
2025-08-20 14:42:10.453,79.13,24.92,6.51,1.44,1.04,1.02,0.59,0.17,0.06,86.56,0.91,1.69,0.67,13.7,12.28,0.16,65.04,45.97,7.05,1.51,4.58,41.97,40.12,9.58,-0.42,-0.41,-0.48,-0.62,-0.66,123.1,113.68,95.19,69.49,39.57,20.19,14.25,35.08,29.28,8.8,8.21,5.68,3.96
2025-08-20 14:42:10.701,75.86,23.09,4.89,0.79,0.72,0.7,0.26,-0.08,-0.1,85.33,1.11,1.49,-0.15,13.7,12.52,0.24,65.04,45.77,7.05,1.92,4.66,41.76,39.72,9.62,-0.34,-0.33,-0.28,-0.5,-0.54,123.91,119.79,95.19,69.08,41.2,21.01,14.66,33.86,31.12,8.63,8.01,5.47,3.96
2025-08-20 14:42:10.979,75.45,23.3,4.48,0.55,0.31,0.21,-0.22,-0.73,-0.75,82.47,-0.11,0.67,-0.96,13.29,11.87,-0.42,62.79,44.34,5.62,0.29,4.44,40.53,38.49,9.29,-0.75,-0.78,-0.64,-0.75,-0.9,123.1,106.75,94.78,69.08,40.38,20.39,14.05,33.24,30.3,8.8,8.21,5.64,3.84
2025-08-20 14:42:11.202,75.45,23.7,5.29,1.12,0.88,0.86,0.35,-0.16,-0.18,84.92,1.32,1.89,0.46,14.19,12.52,0.24,65.04,44.54,7.05,1.1,4.62,41.15,40.94,9.86,-0.34,-0.41,-0.28,-0.5,-0.5,125.13,120.2,96.41,71.12,41.61,21.01,15.88,35.49,30.92,9.37,8.3,5.68,3.88
2025-08-20 14:42:11.451,74.23,23.5,5.29,0.88,0.8,0.7,0.1,-0.24,-0.26,85.33,0.7,1.49,0.46,14.02,12.85,0.16,65.04,45.97,7.86,2.12,4.66,40.74,41.96,9.82,-0.46,-0.41,-0.4,-0.42,-0.54,126.34,118.57,95.6,68.67,39.77,19.78,15.68,35.49,32.35,9.2,8.38,5.76,4.08
2025-08-20 14:42:11.702,75.05,23.5,4.89,0.79,0.64,0.7,0.02,-0.24,-0.18,84.51,1.11,0.47,0.46,14.11,12.93,0.32,64.84,45.56,7.05,1.92,4.77,41.56,39.31,9.9,-0.38,-0.45,-0.44,-0.5,-0.58,126.75,116.13,94.78,68.67,39.37,18.76,16.29,34.88,30.3,8.88,8.42,5.72,4.0
2025-08-20 14:42:11.979,73.41,22.07,4.28,0.39,0.4,0.21,-0.22,-0.65,-0.59,81.25,-0.72,0.26,-0.76,13.7,12.69,-0.33,63.61,43.72,5.62,0.08,4.87,40.94,38.08,9.78,-0.54,-0.49,-0.6,-0.62,-0.7,123.51,117.76,91.11,66.62,38.96,17.94,14.46,34.67,30.51,8.72,8.26,5.43,3.84
2025-08-20 14:42:12.201,75.86,23.3,5.29,0.88,0.64,0.7,0.26,0.01,-0.02,85.33,1.32,1.08,0.87,14.51,13.42,0.32,64.02,44.95,7.05,1.51,4.99,42.79,39.92,10.14,-0.34,-0.37,-0.44,-0.58,-0.66,126.75,110.01,96.0,69.49,39.57,19.17,15.88,37.33,33.78,9.29,8.5,5.76,4.08
2025-08-20 14:42:12.452,74.64,23.09,4.69,0.79,0.56,0.53,0.26,-0.16,-0.26,84.11,0.91,0.67,1.07,14.6,13.01,0.24,64.63,45.97,7.05,1.71,4.99,41.56,38.28,10.19,-0.46,-0.45,-0.48,-0.46,-0.5,127.16,119.39,93.56,68.67,39.57,18.96,15.07,35.9,33.58,9.12,8.46,5.68,4.0
2025-08-20 14:42:12.701,75.86,23.5,5.09,0.79,0.56,0.45,0.1,-0.48,-0.18,84.92,0.91,1.28,0.67,14.6,13.01,-0.09,64.22,45.56,6.84,1.92,4.79,41.97,39.51,10.19,-0.3,-0.33,-0.4,-0.46,-0.5,125.53,108.38,94.78,67.85,39.77,18.96,15.07,35.9,35.21,9.29,8.5,5.72,4.13
2025-08-20 14:42:12.951,76.68,23.91,4.89,0.79,0.64,0.61,0.1,-0.32,-0.26,86.15,0.91,0.87,0.67,14.43,12.93,0.24,65.04,46.18,7.25,1.31,4.69,41.56,40.12,10.06,-0.22,-0.41,-0.4,-0.46,-0.66,124.72,112.05,93.56,68.26,38.96,18.55,15.27,37.33,35.01,9.45,8.38,5.59,3.84
2025-08-20 14:42:13.202,76.27,22.89,5.09,0.88,0.64,0.78,0.35,-0.16,-0.18,84.51,1.32,1.28,0.46,14.11,12.77,0.24,65.65,45.77,6.64,1.71,4.58,41.56,39.1,9.74,-0.34,-0.37,-0.4,-0.54,-0.66,125.53,108.79,94.37,67.03,39.57,18.76,15.07,36.1,33.37,9.2,8.46,5.8,4.13
2025-08-20 14:42:13.452,75.45,22.28,4.48,0.47,0.48,0.53,0.26,-0.16,-0.26,84.92,1.11,1.28,0.26,13.94,12.44,-0.09,64.84,45.77,6.64,1.92,4.62,41.15,38.49,9.62,-0.46,-0.29,-0.44,-0.54,-0.46,123.1,114.09,92.74,67.03,37.94,17.12,14.46,36.71,33.78,8.88,8.34,5.72,3.96
2025-08-20 14:42:13.702,76.27,22.68,4.08,0.88,0.48,0.7,0.26,-0.4,-0.43,84.51,0.7,0.67,-0.15,13.86,12.28,0.24,66.06,45.77,7.45,1.31,4.52,41.97,38.28,9.49,-0.38,-0.41,-0.4,-0.54,-0.58,124.72,117.76,91.52,67.03,37.33,16.92,14.05,36.92,33.37,8.63,8.26,5.72,4.08
2025-08-20 14:42:13.951,74.64,22.48,4.89,1.04,0.88,0.78,0.26,-0.16,-0.18,85.74,0.91,0.87,0.46,13.62,12.52,0.32,65.04,45.97,7.25,1.71,4.32,41.35,39.1,9.41,-0.38,-0.29,-0.32,-0.42,-0.54,123.91,107.57,92.33,66.62,35.9,16.51,14.25,36.31,32.14,8.96,8.38,5.76,4.13
2025-08-20 14:42:14.209,76.27,22.68,4.69,1.12,0.88,0.86,0.43,-0.16,-0.34,84.92,0.7,1.28,0.05,13.54,12.12,0.07,65.25,45.77,7.05,1.71,4.38,40.74,40.12,9.25,-0.5,-0.53,-0.52,-0.58,-0.62,122.29,114.5,91.52,64.57,35.09,16.3,13.64,35.29,32.96,8.72,8.13,5.55,3.92
2025-08-20 14:42:14.460,76.27,22.48,5.29,1.04,0.88,0.94,0.26,-0.24,-0.34,84.51,1.32,0.67,0.05,13.37,12.2,-0.01,65.25,45.77,7.25,1.71,4.18,40.74,40.94,9.09,-0.5,-0.41,-0.52,-0.67,-0.74,123.51,109.61,89.48,63.75,35.7,14.87,13.03,35.29,32.55,8.39,8.05,5.64,3.92
2025-08-20 14:42:14.710,76.68,23.3,5.29,1.28,1.04,0.86,0.51,-0.24,-0.18,84.51,0.7,1.49,0.46,13.13,11.95,0.16,64.43,45.56,7.05,1.71,4.18,40.53,38.69,8.88,-0.38,-0.45,-0.44,-0.54,-0.58,123.51,105.94,91.11,64.98,36.51,16.71,13.24,34.67,29.49,8.63,8.09,5.72,4.0
2025-08-20 14:42:14.960,77.5,23.91,5.29,1.36,1.21,1.02,0.51,-0.4,-0.34,84.51,1.32,1.28,0.05,13.05,11.79,-0.01,64.22,45.56,7.25,1.51,4.05,40.74,38.69,8.8,-0.5,-0.29,-0.4,-0.42,-0.5,123.51,114.5,90.7,65.8,35.7,15.69,13.03,33.86,27.24,8.55,8.09,5.68,3.92
2025-08-20 14:42:15.202,76.68,23.91,5.9,1.52,0.88,1.02,0.51,-0.08,-0.1,86.15,1.73,2.3,0.67,13.05,12.04,0.16,65.65,45.36,8.27,2.12,3.85,40.74,39.92,8.88,-0.18,-0.45,-0.36,-0.34,-0.5,124.32,118.98,90.7,65.39,36.31,15.89,13.03,33.04,29.28,9.04,8.3,5.8,4.08
2025-08-20 14:42:15.452,76.27,24.31,5.7,1.44,1.21,1.1,0.67,-0.08,-0.02,84.92,1.52,2.1,0.46,12.88,11.71,0.32,66.06,45.77,7.25,2.12,3.67,40.74,39.31,8.52,-0.3,-0.41,-0.28,-0.42,-0.42,122.7,112.87,89.89,64.57,34.48,15.08,13.24,34.06,31.12,9.04,8.34,5.68,4.13
2025-08-20 14:42:15.701,76.27,24.11,5.7,1.2,1.13,1.19,0.43,-0.24,-0.1,84.92,1.52,2.1,0.46,12.72,11.06,0.32,64.84,45.36,7.05,2.12,3.46,40.94,40.53,8.36,-0.38,-0.37,-0.4,-0.67,-0.58,123.51,114.9,89.48,63.75,33.46,14.06,12.01,35.49,30.51,8.88,8.21,5.88,4.13
