measuring point,CON_L1,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,SEG1,GF3,GF4,CONV1,RIS10,RIS11,CONV2,SEG2,SEG3,SEG4,SEG5,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,CON_R1,CON_R2,RIS1,RIS2,RIS3,RIS4,RIS5,ULS1,ULS2,RIS12,RIS13,ZR1,ZR2,gm1,gm2
sensor number,1,3,4,6,7,8,9,10,11,13,15,16,17,21,22,23,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,500,250,250,250,100,100,100,250,250,250,250,25,250,250,50,50,50,50,50,50,500,500,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.187,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,-0.245,0.083,0.131,0.178,0.601,1.101,0.478,-0.205,-0.165,-0.084,-0.023,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.35,-0.35,-0.29,-0.225,-0.16,-0.128,-0.03,1.056,1.056,1.637,1.735,1.401,1.839,0.0,0.0
2025-09-11 18:01:30.961,77.09,26.15,9.56,1.61,1.37,1.59,1.24,1.07,1.28,84.92,0.91,2.3,0.46,12.72,11.71,0.24,65.65,46.79,9.29,2.53,3.42,41.56,39.92,7.7,0.92,0.77,0.87,0.88,0.85,123.51,109.2,93.96,69.9,39.98,19.57,13.85,32.43,29.28,8.8,8.46,6.37,4.98,62.25,124.75
2025-09-11 18:01:31.212,76.68,26.15,8.75,1.52,1.13,1.27,1.24,0.99,1.28,86.97,1.73,2.1,0.46,12.64,11.63,0.32,66.06,47.4,9.29,2.53,3.52,40.74,39.1,7.54,0.96,0.77,0.82,0.72,0.77,124.32,114.9,94.37,68.67,39.77,19.78,13.44,34.26,29.9,8.55,8.17,6.29,4.82,62.25,124.75
2025-09-11 18:01:31.462,77.5,25.54,9.16,1.2,1.45,1.43,1.24,1.07,1.11,86.15,1.52,1.49,0.46,12.72,11.47,0.24,66.06,47.61,9.29,2.12,3.73,40.94,40.74,7.66,0.96,0.98,0.91,0.84,0.81,124.32,117.76,94.37,68.67,40.38,19.37,14.25,34.06,29.08,8.63,8.13,6.25,4.74,62.25,124.75
2025-09-11 18:01:31.711,77.09,26.35,9.16,1.61,1.37,1.59,1.24,1.15,1.2,86.56,0.91,2.3,0.67,13.13,11.87,0.32,66.27,46.99,9.29,1.31,3.91,41.76,40.53,7.91,0.76,0.85,0.87,0.88,0.77,123.91,116.94,95.6,69.49,40.79,19.17,14.05,34.26,32.55,9.12,8.34,6.29,4.74,62.25,124.75
2025-09-11 18:01:31.970,77.09,26.35,8.95,1.44,1.13,1.19,1.0,0.9,0.95,86.56,1.11,1.89,0.46,12.96,11.71,-0.01,66.47,46.58,8.68,1.31,4.03,40.74,40.53,7.83,0.68,0.69,0.74,0.56,0.6,124.32,114.5,94.37,67.85,42.22,21.01,14.05,32.63,30.92,8.47,8.13,6.13,4.78,62.25,124.75
2025-09-11 18:01:32.221,78.32,25.94,8.75,1.52,1.37,1.35,0.83,0.58,0.63,83.7,0.5,0.67,-0.35,12.96,11.71,-0.17,66.47,46.99,9.49,2.12,4.01,40.53,39.1,7.91,0.76,0.73,0.74,0.68,0.64,123.1,116.53,96.0,71.12,42.83,22.23,14.05,33.24,29.28,8.55,8.13,6.08,4.58,62.25,124.75
2025-09-11 18:01:32.470,77.91,26.15,8.75,1.61,1.45,1.43,1.16,0.9,0.95,87.37,1.52,2.1,0.05,13.21,11.71,-0.01,66.88,48.01,8.27,1.92,4.38,39.92,39.72,8.27,0.84,0.85,0.78,0.76,0.77,123.91,115.72,97.63,71.53,44.46,24.07,14.66,32.84,27.24,8.47,7.97,5.92,4.66,62.25,124.75
2025-09-11 18:01:32.720,77.91,26.15,8.95,1.77,1.69,1.59,1.16,0.9,0.95,86.56,1.52,1.49,-1.17,13.21,11.63,-0.09,66.27,47.4,7.86,1.31,4.6,39.51,39.51,8.44,0.68,0.73,0.66,0.56,0.52,123.1,117.76,96.41,71.53,43.85,24.28,14.86,31.61,28.87,8.47,8.01,6.04,4.66,62.25,124.75
2025-09-11 18:01:32.962,75.45,24.92,8.95,1.69,1.61,1.59,1.24,0.82,0.71,86.15,1.52,1.89,0.26,13.78,12.04,0.07,66.06,47.61,8.68,1.71,4.89,40.94,39.72,8.84,0.84,0.77,0.87,0.92,0.69,125.53,112.87,98.45,73.99,45.07,25.3,15.88,31.2,26.83,8.88,8.21,6.25,4.7,62.25,124.75
2025-09-11 18:01:33.212,77.09,25.33,8.75,1.61,1.45,1.51,1.08,0.74,0.71,85.74,1.32,1.69,-0.76,14.02,12.28,-0.09,66.06,47.4,8.68,1.71,5.15,40.12,40.12,9.09,0.59,0.73,0.7,0.6,0.64,122.7,118.57,97.63,73.17,45.68,24.69,16.08,30.39,28.26,8.72,8.26,6.29,4.74,62.25,124.75
