measuring point,CON_L5,GF1,GF2,GF6,GF7,GF8,GF11,GF14,GF17,GF3,GF4,RIS12,RIS13,dp2,ILS1,ILS2,dp1,GF19,GF22,GF23,ZL1,ZL2,RIS3,RIS5,RIS6,RIS9,RIS11,ULS1,ULS2,RIS14,RIS15,ZR1,ZR2,gm_ZR,gm_ZL
sensor number,1,3,4,6,7,8,9,10,11,15,16,21,22,30,31,32,33,34,35,36,37,38,41,42,43,44,45,48,49,50,51,52,53,101,102
sensor range,500,250,250,100,100,100,100,100,100,250,250,100,100,25,250,250,50,50,50,50,50,50,500,500,250,250,250,250,250,100,50,50,50,1,1
sensor height,-0.213,-0.046,0.033,0.233,0.349,0.449,0.599,0.749,0.899,0.083,0.131,0.644,1.144,nan,0.628,0.628,nan,0.999,1.295,1.488,1.154,1.592,-0.285,-0.225,-0.111,0.039,0.139,1.099,1.099,1.68,1.779,1.444,1.883,0.0,0.0
2025-02-01 16:31:38.587,111.85,57.51,36.39,12.0,11.83,10.08,7.6,5.23,0.95,17.04,12.7,28.05,22.04,16.07,55.09,51.37,24.83,1.16,1.1,1.07,0.8,0.52,105.38,82.58,53.62,38.18,34.6,35.49,28.06,12.3,10.29,4.7,3.31,62.25,-0.25
2025-02-01 16:31:38.837,117.98,58.73,39.24,12.24,11.91,10.08,7.43,5.39,1.11,16.22,12.7,28.37,22.2,15.58,52.43,49.73,24.66,1.04,1.02,0.95,0.84,0.69,106.2,85.04,51.38,37.77,34.6,33.65,30.92,12.71,10.7,4.86,3.31,62.25,-0.25
2025-02-01 16:31:39.086,117.16,60.97,40.86,12.97,12.8,10.98,8.0,5.8,1.28,18.06,13.32,28.05,22.12,15.74,49.97,50.35,24.5,1.12,1.14,1.15,1.04,0.64,102.53,81.36,50.16,37.16,34.39,33.45,30.92,12.38,10.33,4.7,3.31,62.25,-0.25
2025-02-01 16:31:39.328,120.03,60.97,39.85,12.73,12.23,10.81,8.17,5.72,1.44,19.9,13.72,27.72,21.23,15.86,48.12,50.96,24.3,1.2,0.98,1.11,0.92,0.52,106.61,82.58,50.77,37.77,34.8,32.84,28.67,11.49,10.05,4.74,3.22,62.25,-0.25
2025-02-01 16:31:39.578,113.08,60.77,40.25,12.48,12.23,10.24,7.6,5.23,1.2,18.88,12.91,28.13,21.39,16.68,51.4,49.94,24.58,1.0,1.02,0.99,0.8,0.36,104.57,76.85,48.33,37.77,35.21,36.51,32.35,11.57,9.72,4.9,3.27,62.25,-0.25
2025-02-01 16:31:39.828,113.89,62.4,39.85,12.16,11.91,10.08,7.11,4.98,1.52,18.88,13.11,28.45,21.64,16.9,50.99,53.82,24.74,1.16,1.02,1.07,0.8,0.69,109.46,80.95,49.14,40.22,36.83,40.39,32.55,11.32,9.6,4.86,3.39,62.25,-0.25
2025-02-01 16:31:40.098,114.3,63.21,40.46,11.43,11.01,9.1,6.29,4.17,0.87,18.47,11.07,28.62,21.96,16.9,53.66,50.96,25.27,0.84,0.94,0.95,0.72,0.32,118.02,85.45,48.12,38.38,35.41,43.45,36.64,11.57,9.84,4.53,2.94,62.25,-0.25
2025-02-01 16:31:40.329,116.35,63.41,39.85,11.02,10.77,9.02,6.29,4.25,1.6,18.67,11.68,31.06,24.32,18.27,57.55,52.8,27.35,1.24,1.3,1.27,1.04,0.73,114.35,85.04,53.82,43.9,40.09,43.65,38.69,12.63,10.78,4.94,3.51,62.25,-0.25
2025-02-01 16:31:40.578,117.57,66.06,41.27,10.62,10.2,8.77,6.21,3.92,1.11,19.49,11.28,30.74,23.91,18.06,54.89,51.17,27.31,1.12,0.94,0.99,0.84,0.52,109.46,80.54,55.86,42.47,38.46,43.04,37.26,12.63,10.5,4.74,3.31,62.25,-0.25
2025-02-01 16:31:40.828,118.39,67.28,42.49,10.45,10.37,8.28,6.13,3.76,1.28,19.9,11.07,31.55,24.97,17.55,49.14,49.73,27.96,1.0,1.02,0.91,0.76,0.56,109.46,81.36,56.27,43.29,38.67,43.65,36.85,14.09,11.47,4.74,3.31,62.25,-0.25
2025-02-01 16:31:41.098,106.12,66.06,38.83,9.72,9.47,8.12,5.72,3.6,0.95,20.72,10.05,31.15,24.73,17.29,49.97,48.71,27.59,1.0,0.94,0.95,0.72,0.36,99.67,77.26,58.92,42.47,38.26,42.84,35.62,13.77,11.76,4.9,3.43,62.25,-0.25
2025-02-01 16:31:41.328,99.17,68.51,40.66,10.29,10.12,8.61,6.29,4.17,1.6,21.94,11.07,31.15,24.32,17.37,54.07,50.35,27.51,1.2,1.22,1.31,1.04,0.73,98.86,76.85,56.06,41.65,38.06,42.63,38.28,13.44,11.43,4.7,3.31,62.25,-0.25
2025-02-01 16:31:41.578,94.67,69.52,43.71,11.27,10.77,9.34,6.94,4.74,1.52,22.55,11.89,30.57,23.51,17.31,54.07,49.53,27.18,1.45,1.39,1.35,1.17,0.85,98.45,73.17,54.03,40.83,37.44,40.79,39.51,12.87,10.98,4.7,3.27,-0.25,-0.25
2025-02-01 16:31:41.828,91.81,70.54,43.1,10.62,10.29,9.02,7.11,4.9,1.36,21.94,11.68,29.76,22.94,16.74,50.99,49.73,26.29,1.08,1.02,1.15,0.84,0.44,99.27,76.04,50.16,39.2,35.61,44.26,39.3,12.79,10.9,4.7,3.27,-0.25,-0.25
2025-02-01 16:31:42.078,88.13,66.67,42.08,10.62,10.29,9.43,7.11,4.49,1.52,20.31,11.28,28.94,22.77,16.13,50.99,49.53,25.27,1.08,1.02,0.87,0.76,0.32,91.11,70.71,49.34,37.16,35.0,46.92,41.96,12.46,10.66,4.82,3.27,-0.25,-0.25
2025-02-01 16:31:42.328,86.9,69.93,42.08,11.02,11.01,9.67,7.35,4.98,1.2,21.33,12.3,28.21,22.45,16.47,51.81,50.76,24.91,1.16,1.06,1.07,0.88,0.48,89.07,70.3,47.1,36.54,34.39,50.18,48.91,11.65,10.21,4.78,3.22,-0.25,-0.25
2025-02-01 16:31:42.579,86.5,68.3,41.88,11.02,10.69,9.26,6.86,4.49,1.6,20.1,11.28,28.29,22.2,16.09,50.58,50.96,24.74,1.24,1.14,1.15,0.92,0.64,82.14,69.08,45.07,34.91,33.38,47.94,41.55,12.06,10.33,4.74,3.27,-0.25,-0.25
2025-02-01 16:31:42.828,85.27,68.91,42.49,11.75,11.34,9.59,7.11,5.06,1.44,20.72,12.3,27.23,20.9,15.53,50.99,50.55,23.56,1.2,1.1,1.03,0.84,0.56,81.32,64.57,41.81,34.09,32.16,46.1,41.75,11.08,9.93,4.82,3.39,-0.25,-0.25
2025-02-01 16:31:43.098,93.04,66.47,40.66,11.84,11.34,9.43,7.35,4.98,1.03,18.88,11.68,26.42,19.76,15.88,48.94,49.94,23.36,0.88,0.9,0.82,0.64,0.4,83.77,62.94,38.75,32.86,31.34,40.79,34.19,10.51,9.11,4.45,2.98,-0.25,-0.25
2025-02-01 16:31:43.329,94.67,66.06,42.49,12.89,12.47,10.98,8.08,6.29,1.03,20.92,13.32,27.8,20.9,16.0,52.02,51.17,24.09,1.08,1.1,1.11,0.8,0.52,91.52,63.35,40.79,35.93,33.38,40.79,35.83,11.24,9.76,4.82,3.35,-0.25,-0.25
2025-02-01 16:31:43.578,99.17,66.27,42.49,12.57,12.31,10.57,8.0,5.8,1.52,21.12,13.52,27.07,20.82,15.33,52.84,53.82,23.4,1.2,1.18,1.11,0.96,0.73,96.0,67.03,40.99,34.91,32.36,39.77,32.76,11.57,9.72,4.66,3.14,-0.25,-0.25
2025-02-01 16:31:43.828,93.04,66.67,42.08,12.89,12.47,10.49,7.68,5.55,1.6,20.92,13.32,27.4,21.72,15.39,54.68,53.41,23.52,1.08,1.06,1.03,0.8,0.56,92.74,67.85,44.86,36.54,33.38,40.59,32.55,11.73,10.25,4.9,3.47,-0.25,-0.25
2025-02-01 16:31:44.098,100.81,64.84,41.07,12.16,11.66,9.43,6.78,4.33,0.79,18.88,10.87,27.23,21.07,16.0,50.17,50.55,23.89,0.8,0.81,0.66,0.56,0.32,96.82,69.08,47.31,34.5,32.16,39.16,33.37,11.0,9.6,4.45,2.98,-0.25,-0.25
2025-02-01 16:31:44.337,98.35,62.4,40.46,11.75,11.5,9.26,6.7,4.25,1.2,18.47,12.5,28.45,21.96,16.45,49.14,50.35,24.99,0.84,0.81,0.74,0.6,0.28,92.33,69.49,49.34,35.93,34.19,41.0,34.8,11.89,10.46,4.86,3.43,-0.25,-0.25
2025-02-01 16:31:44.587,103.67,60.56,38.02,11.67,11.26,8.61,5.88,3.92,0.95,18.06,11.68,27.56,21.23,15.88,50.58,52.19,24.22,0.88,0.9,0.91,0.72,0.4,100.08,75.63,47.51,35.32,33.58,41.41,38.07,11.73,10.17,4.74,3.27,-0.25,-0.25
2025-02-01 16:31:44.836,102.03,58.32,37.21,10.86,10.45,8.04,5.88,3.76,1.03,17.04,10.87,26.82,20.74,15.23,49.35,49.53,23.44,0.84,0.94,0.99,0.8,0.52,100.08,76.44,44.46,33.48,31.14,43.86,40.73,11.57,10.01,4.98,3.39,-0.25,-0.25
2025-02-01 16:31:45.138,104.9,56.29,35.99,9.97,9.39,7.39,5.07,3.19,0.87,16.84,10.05,27.8,21.07,16.23,51.81,52.19,24.42,0.92,0.9,0.91,0.68,0.36,98.45,80.95,46.7,34.91,32.77,43.65,37.67,11.4,10.17,4.82,3.39,-0.25,-0.25
2025-02-01 16:31:45.328,106.53,59.75,38.42,10.05,9.64,7.88,5.97,4.17,1.28,17.45,10.26,28.13,20.74,16.55,49.97,51.98,24.42,1.04,0.98,0.99,0.8,0.6,100.49,83.81,51.79,37.56,34.6,43.65,38.69,11.4,10.09,4.82,3.35,-0.25,-0.25
2025-02-01 16:31:45.578,106.12,59.14,37.41,9.89,9.56,8.04,6.21,4.25,1.52,17.86,10.66,26.99,19.03,15.84,51.61,52.39,23.44,1.0,0.81,1.03,0.8,0.6,103.75,87.5,53.62,36.54,34.19,42.22,34.39,10.83,9.56,4.78,3.22,-0.25,-0.25
2025-02-01 16:31:45.828,113.48,59.54,37.21,9.72,9.47,8.28,6.21,4.17,1.36,17.65,10.46,26.01,18.54,15.17,53.25,51.37,22.47,0.92,0.98,0.95,0.76,0.44,112.31,89.95,50.16,34.5,32.77,46.51,40.73,10.26,9.11,4.53,2.86,-0.25,-0.25
2025-02-01 16:31:46.078,118.39,61.79,38.42,10.21,9.96,8.86,6.45,4.25,1.36,18.47,10.46,26.74,19.76,15.96,53.45,51.37,22.91,1.04,1.14,1.11,0.88,0.52,111.5,82.99,50.36,38.18,34.19,43.86,38.69,10.75,9.23,4.86,3.47,-0.25,-0.25
2025-02-01 16:31:46.328,116.35,61.99,38.22,10.78,10.69,9.43,6.54,4.74,1.28,18.06,11.68,27.56,19.93,16.68,50.58,52.19,24.05,1.08,1.14,1.07,0.92,0.56,104.16,79.31,55.45,41.65,37.24,40.39,37.05,10.59,9.36,4.86,3.39,-0.25,-0.25
2025-02-01 16:31:46.578,118.39,62.19,38.02,10.78,10.61,9.51,7.11,4.82,1.6,17.65,12.09,28.78,20.98,17.23,47.5,50.76,24.99,1.04,0.98,0.99,0.84,0.52,103.34,78.9,59.12,43.9,39.68,46.51,42.98,11.16,9.68,4.94,3.43,-0.25,-0.25
2025-02-01 16:31:46.828,124.93,62.19,38.22,10.62,10.45,9.18,6.78,4.33,1.44,17.65,11.28,27.48,19.93,16.74,49.14,49.33,24.46,1.12,1.02,0.99,0.72,0.52,121.69,93.64,65.23,43.08,38.06,47.32,42.78,10.51,8.99,4.25,2.77,-0.25,-0.25
2025-02-01 16:31:47.078,114.3,62.19,38.42,10.78,10.61,8.94,6.21,4.33,1.52,17.65,10.87,30.25,22.61,17.62,49.76,49.33,26.13,1.16,1.06,1.11,0.84,0.69,109.46,78.08,60.54,44.92,40.29,44.88,35.62,12.22,10.62,5.19,3.43,-0.25,-0.25
2025-02-01 16:31:47.328,111.44,64.03,39.64,10.78,10.53,8.53,6.54,4.74,1.2,18.67,11.28,30.41,22.2,18.04,50.79,51.17,26.61,1.2,1.14,1.11,0.76,0.6,108.24,82.58,62.38,45.74,39.89,44.67,39.51,11.81,10.54,4.86,3.27,-0.25,-0.25
2025-02-01 16:31:47.578,103.67,69.52,41.47,10.62,10.45,8.61,6.29,4.41,1.44,20.1,11.48,30.49,21.64,18.49,46.89,48.1,27.02,1.12,1.02,1.15,1.04,0.6,107.42,88.32,67.88,45.54,41.31,52.83,51.16,11.81,10.58,4.86,3.43,-0.25,-0.25
2025-02-01 16:31:47.828,93.04,68.1,39.85,10.54,10.29,8.53,6.21,4.33,1.44,20.72,11.28,29.76,21.96,17.04,50.17,49.53,26.17,1.2,1.18,1.15,1.0,0.64,106.61,87.5,65.84,43.7,39.68,49.57,43.19,12.46,10.94,4.82,3.35,-0.25,-0.25
2025-02-01 16:31:48.098,90.18,66.47,38.42,10.29,10.12,8.61,6.21,4.09,0.95,18.26,10.05,27.4,19.68,15.72,52.63,48.51,24.34,0.88,0.9,0.78,0.64,0.4,101.3,80.95,56.88,38.59,35.41,42.63,36.85,11.24,9.93,4.37,2.77,-0.25,-0.25
2025-02-01 16:31:48.328,85.68,68.51,41.07,11.43,11.26,9.26,7.19,5.31,1.44,21.12,12.09,28.29,20.74,16.19,52.02,48.71,24.5,1.24,1.14,1.19,0.92,0.73,96.41,79.31,55.05,39.4,36.22,44.26,43.19,11.57,9.97,4.78,3.31,-0.25,-0.25
2025-02-01 16:31:48.578,87.72,70.13,43.1,11.02,10.93,9.67,7.35,4.98,1.36,20.1,11.28,27.8,21.07,15.86,49.97,49.94,24.3,1.16,1.02,1.15,0.88,0.48,106.2,82.99,51.79,39.2,36.22,45.49,39.51,11.81,10.01,4.74,3.31,-0.25,-0.25
2025-02-01 16:31:48.828,86.09,67.08,38.63,11.19,10.69,9.59,7.27,4.9,1.44,21.12,12.5,28.37,21.39,15.94,50.17,50.55,24.74,1.16,1.26,1.23,0.96,0.73,97.63,82.18,49.14,38.99,35.21,46.92,40.94,11.81,10.41,4.74,3.14,-0.25,-0.25
2025-02-01 16:31:49.078,94.67,67.49,40.25,10.94,10.69,9.34,7.11,4.82,1.44,20.1,11.89,28.45,21.64,16.7,47.71,50.35,24.87,1.08,0.94,0.99,0.88,0.52,96.41,76.85,48.94,38.79,35.61,45.9,37.87,11.49,9.93,4.66,3.14,-0.25,-0.25
2025-02-01 16:31:49.328,95.08,67.69,39.85,11.84,11.74,10.24,7.92,5.06,1.28,21.12,13.11,29.03,22.45,17.33,49.76,49.73,25.64,1.2,1.1,1.07,0.8,0.6,92.74,77.26,50.97,40.83,37.04,42.43,35.42,11.65,10.13,4.94,3.43,-0.25,-0.25
2025-02-01 16:31:49.579,97.95,66.06,39.24,11.51,11.5,9.92,7.84,5.15,1.36,20.1,12.3,28.7,21.23,17.11,48.12,50.76,25.52,1.16,1.18,1.19,0.92,0.64,98.45,68.67,47.31,39.81,36.22,40.59,33.58,11.49,9.84,4.49,3.06,-0.25,-0.25
2025-02-01 16:31:49.828,98.35,65.25,39.44,12.0,11.74,10.08,7.51,4.9,1.36,18.47,12.5,29.6,22.69,17.35,47.5,51.37,26.29,1.24,1.14,1.23,0.96,0.77,104.97,71.94,47.31,40.43,36.63,39.77,35.01,12.14,10.17,4.66,3.22,-0.25,-0.25
2025-02-01 16:31:50.078,100.4,65.04,40.25,12.73,12.31,10.16,7.68,5.06,1.52,18.67,13.32,31.47,25.54,17.55,49.35,50.55,27.92,1.0,1.02,0.95,0.96,0.52,103.34,71.12,49.75,41.65,39.07,39.98,38.48,13.77,11.8,4.82,3.51,-0.25,-0.25
2025-02-01 16:31:50.337,100.4,61.99,38.83,12.0,11.91,9.67,7.19,4.66,1.2,17.65,12.5,31.47,24.56,17.23,51.4,51.17,27.75,0.88,0.94,0.99,0.72,0.48,103.34,68.26,49.34,41.24,38.26,42.02,36.44,13.85,11.84,4.86,3.39,-0.25,-0.25
2025-02-01 16:31:50.586,101.22,58.73,36.8,11.51,11.18,9.43,6.7,4.41,1.11,16.43,11.07,30.82,23.75,17.04,51.81,51.37,27.14,0.92,0.73,0.87,0.68,0.36,103.75,72.76,50.77,41.04,38.46,42.22,31.53,13.6,11.76,4.94,3.47,-0.25,-0.25
2025-02-01 16:31:50.837,112.26,59.75,39.44,12.24,11.99,9.75,6.86,5.15,1.28,17.24,12.3,30.09,22.86,17.19,49.14,50.96,26.94,0.88,0.9,1.03,0.92,0.6,108.64,78.9,49.34,40.63,37.65,43.04,33.37,12.54,10.98,4.49,3.06,-0.25,-0.25
2025-02-01 16:31:51.086,106.12,58.12,37.21,12.16,11.74,9.75,7.27,5.23,0.95,17.24,12.09,30.66,23.67,17.37,49.35,50.14,27.18,1.12,1.06,0.91,0.76,0.48,106.2,81.36,48.73,40.43,37.65,45.28,36.44,13.44,11.35,4.82,3.35,-0.25,-0.25
2025-02-01 16:31:51.328,107.76,58.73,38.63,12.0,11.58,9.43,7.35,4.82,1.28,17.24,13.32,29.51,22.77,16.68,50.38,50.76,26.25,1.2,1.06,0.95,0.72,0.52,109.87,93.64,51.58,39.81,36.63,46.71,39.51,12.54,10.54,4.33,2.9,-0.25,-0.25
2025-02-01 16:31:51.578,106.12,60.16,38.83,12.08,11.83,9.92,6.94,4.66,1.44,17.65,12.7,30.41,23.67,17.06,51.61,51.98,26.61,1.08,1.06,0.95,0.84,0.6,102.53,79.31,50.16,41.24,37.85,49.36,40.53,12.87,10.7,5.02,3.43,-0.25,-0.25
2025-02-01 16:31:51.828,111.03,61.17,37.61,12.0,11.66,9.34,6.7,4.41,1.44,17.24,12.3,30.41,24.16,17.68,50.17,51.98,27.06,1.16,1.1,1.07,0.84,0.52,101.3,76.44,51.38,41.65,38.46,48.75,37.05,12.3,10.41,4.61,3.14,-0.25,-0.25
2025-02-01 16:31:52.098,115.94,63.41,38.63,11.75,11.42,8.94,6.37,4.17,0.87,16.63,11.28,30.33,23.91,17.55,48.73,49.94,27.22,0.72,0.81,0.82,0.64,0.44,99.67,75.63,48.73,39.4,37.85,49.57,39.51,12.71,10.54,4.57,2.98,-0.25,-0.25
2025-02-01 16:31:52.329,117.16,66.06,39.85,11.92,11.74,9.18,7.02,4.82,1.28,19.69,12.91,31.47,24.97,17.43,51.61,52.39,27.67,1.2,1.06,1.11,0.88,0.52,99.27,76.44,48.33,40.02,38.87,52.43,46.25,13.44,11.23,4.7,3.35,-0.25,-0.25
2025-02-01 16:31:52.578,113.89,66.88,39.85,12.24,11.74,9.59,7.11,4.74,1.52,18.06,12.5,31.31,24.97,17.17,50.99,51.57,27.63,1.2,1.14,0.99,0.84,0.6,99.27,71.94,46.49,38.79,37.24,47.53,37.26,13.85,11.51,4.82,3.27,-0.25,-0.25
2025-02-01 16:31:52.828,107.76,67.69,41.68,12.24,11.66,10.0,7.43,5.15,1.36,19.08,12.5,30.41,23.75,16.88,49.76,51.37,26.86,1.08,1.06,1.27,0.84,0.6,100.08,74.4,44.25,38.79,35.82,44.47,36.64,13.2,11.15,4.57,3.1,-0.25,-0.25
2025-02-01 16:31:53.098,100.81,67.28,42.49,12.24,11.91,10.16,7.51,4.82,0.71,19.29,11.89,29.51,22.69,17.13,49.14,49.94,26.13,0.92,0.81,0.82,0.6,0.28,96.0,69.08,42.83,36.54,34.39,43.24,39.3,11.97,10.5,4.61,3.06,-0.25,-0.25
2025-02-01 16:31:53.328,97.54,69.93,42.9,12.32,11.83,10.0,7.84,4.9,1.44,20.51,13.52,29.19,22.61,16.8,51.4,54.23,25.44,0.96,1.02,0.99,0.88,0.48,101.71,72.35,41.61,36.54,35.0,46.3,40.53,12.06,10.17,4.82,3.35,-0.25,-0.25
2025-02-01 16:31:53.578,89.77,68.91,41.68,12.0,11.91,9.83,7.02,4.57,1.44,21.33,11.89,29.19,22.69,17.15,53.86,53.01,25.64,1.2,1.14,1.07,0.96,0.52,100.08,77.26,42.83,36.75,34.39,56.1,51.57,11.65,9.72,4.66,3.31,-0.25,-0.25
2025-02-01 16:31:53.829,88.95,70.95,43.3,11.43,11.42,9.51,6.78,4.17,1.36,20.92,12.09,28.45,22.45,17.45,53.45,52.6,25.48,1.16,1.14,1.15,1.04,0.56,101.3,85.04,50.57,37.97,35.21,53.85,45.64,10.92,9.15,4.41,3.06,-0.25,-0.25
2025-02-01 16:31:54.078,84.04,66.88,42.69,12.08,11.91,10.24,7.43,5.39,1.44,20.72,12.5,30.66,23.34,17.72,51.61,51.78,26.86,1.12,1.06,0.99,0.92,0.56,92.33,71.94,49.34,40.43,37.24,54.47,45.64,12.38,10.5,4.78,3.27,-0.25,-0.25
2025-02-01 16:31:54.328,84.86,67.08,42.69,12.65,12.39,10.65,8.17,6.04,1.28,20.92,12.91,29.6,22.45,17.11,53.45,53.41,26.09,1.08,1.06,0.95,0.76,0.48,95.6,74.4,47.1,38.79,35.61,49.57,41.96,11.97,10.5,4.53,2.98,-0.25,-0.25
2025-02-01 16:31:54.579,88.54,67.69,43.3,12.4,12.55,10.65,7.92,5.8,1.44,22.14,13.11,30.66,23.59,17.39,53.66,52.39,26.74,1.29,1.26,1.11,0.92,0.73,94.78,71.12,50.77,41.04,37.85,49.57,41.35,12.87,11.07,4.9,3.43,-0.25,-0.25
2025-02-01 16:31:54.828,96.31,67.08,41.27,12.73,12.64,10.81,7.43,5.39,1.36,21.33,13.52,30.09,22.53,17.17,52.43,50.14,26.45,1.29,1.22,1.23,1.21,0.73,89.48,67.44,47.71,39.81,37.44,49.77,40.53,12.46,10.78,4.7,3.22,-0.25,-0.25
2025-02-01 16:31:55.078,106.53,69.12,43.91,13.22,12.96,10.73,8.17,5.96,1.44,22.55,13.72,29.6,22.37,17.15,52.02,51.57,26.05,1.33,1.18,1.27,0.96,0.64,88.66,70.71,46.7,39.81,36.83,50.59,45.64,12.14,10.37,4.49,3.14,-0.25,-0.25
2025-02-01 16:31:55.329,106.53,69.52,41.68,13.13,12.72,10.98,8.41,5.88,1.44,22.35,13.72,29.35,22.77,16.84,48.32,50.55,25.64,1.24,1.35,1.23,0.96,0.64,88.26,67.85,46.49,38.79,36.02,49.36,40.32,12.06,10.33,4.78,3.31,-0.25,-0.25
2025-02-01 16:31:55.578,108.17,67.89,40.86,12.97,12.47,10.65,7.92,5.47,1.44,21.53,13.93,28.94,22.77,16.15,52.63,52.8,25.31,1.16,1.06,1.11,0.8,0.69,89.48,66.21,43.85,36.95,34.8,48.55,39.91,12.63,10.5,4.7,3.18,-0.25,-0.25
2025-02-01 16:31:55.828,110.62,70.34,41.47,13.22,12.88,10.57,7.92,5.47,1.44,21.12,13.72,28.78,22.53,16.11,50.58,51.37,25.35,1.04,1.06,1.07,0.8,0.48,86.62,62.53,41.2,36.13,34.19,47.73,42.98,12.46,10.7,4.74,3.18,-0.25,-0.25
2025-02-01 16:31:56.098,113.89,67.69,41.27,12.89,12.39,10.49,7.27,5.15,0.71,19.08,12.91,27.64,21.47,15.8,48.94,49.94,24.62,0.92,0.9,0.91,0.6,0.28,86.62,59.66,38.35,33.07,32.56,44.88,34.19,11.81,10.29,4.33,3.02,-0.25,-0.25
2025-02-01 16:31:56.336,102.03,66.27,41.88,12.97,12.72,10.57,7.51,5.15,1.28,20.51,13.72,27.97,21.72,15.66,48.94,50.14,24.26,1.0,0.94,0.95,0.68,0.44,84.59,65.39,38.14,33.48,32.36,46.92,40.12,11.97,10.29,4.82,3.39,-0.25,-0.25
2025-02-01 16:31:56.587,95.9,64.23,42.9,12.73,12.23,10.41,7.35,4.74,1.2,20.1,12.91,27.56,21.72,15.51,52.43,51.37,24.22,0.92,0.98,0.74,0.64,0.44,83.36,67.44,38.75,33.88,32.56,45.08,37.87,11.89,10.09,4.86,3.35,-0.25,-0.25
2025-02-01 16:31:56.836,92.63,64.03,41.68,12.4,12.07,9.75,7.11,4.57,1.28,20.92,12.91,27.64,22.04,15.33,54.07,50.35,24.17,0.96,0.81,0.91,0.76,0.56,84.59,66.21,38.14,33.88,32.56,42.22,36.44,12.06,10.37,4.61,3.27,-0.25,-0.25
2025-02-01 16:31:57.130,93.04,63.01,41.47,12.08,11.66,9.34,6.62,4.33,0.95,20.1,12.09,27.07,21.96,15.39,51.4,48.51,24.01,0.72,0.81,0.66,0.51,0.28,88.26,66.62,37.53,33.27,31.75,38.55,32.55,11.73,10.17,4.7,3.14,-0.25,-0.25
2025-02-01 16:31:57.328,89.36,65.25,42.69,12.0,11.66,9.02,6.94,4.74,1.36,21.33,12.91,28.21,22.86,15.66,51.2,50.96,24.42,1.08,1.02,1.07,0.8,0.44,88.66,69.49,38.75,34.7,32.77,40.39,36.44,12.22,10.29,4.86,3.39,-0.25,-0.25
2025-02-01 16:31:57.578,92.63,63.01,41.68,12.32,11.91,9.1,6.78,4.9,1.2,21.12,12.5,27.97,23.02,15.84,49.56,50.14,24.5,1.04,0.9,0.99,0.76,0.48,91.11,69.9,37.13,33.68,32.36,39.37,33.78,11.73,9.97,4.7,3.22,-0.25,-0.25
2025-02-01 16:31:57.828,99.99,63.62,41.07,13.13,12.96,10.65,7.68,5.55,1.52,21.74,13.93,28.29,23.18,15.88,51.61,51.57,24.66,1.08,1.02,1.03,0.88,0.6,93.15,70.3,37.53,33.68,32.36,38.75,34.39,12.22,10.05,4.74,3.18,-0.25,-0.25
2025-02-01 16:31:58.078,103.67,64.64,41.47,13.13,12.88,10.73,8.17,5.47,1.36,21.74,13.52,28.78,23.34,15.51,50.17,51.17,24.83,0.92,0.94,0.95,0.8,0.52,96.0,67.85,37.94,34.29,32.36,40.18,35.62,12.63,10.66,4.78,3.43,-0.25,-0.25
2025-02-01 16:31:58.328,106.12,66.67,41.68,12.4,11.99,10.24,7.43,4.82,1.2,20.31,12.91,28.78,23.43,15.15,48.12,51.57,24.87,0.92,0.98,0.99,0.8,0.52,89.48,69.08,42.22,35.72,33.38,45.49,40.94,13.11,11.43,5.06,3.59,-0.25,-0.25
2025-02-01 16:31:58.579,109.8,66.27,40.86,12.57,11.99,9.92,6.86,4.57,1.44,19.69,13.52,27.15,21.88,14.8,51.81,54.44,23.97,1.04,1.06,1.03,0.76,0.48,96.82,72.35,42.83,33.27,31.14,44.06,42.16,12.14,10.58,4.41,3.18,-0.25,-0.25
2025-02-01 16:31:58.828,103.26,65.45,40.46,12.0,11.66,9.1,6.29,4.25,1.44,20.51,12.5,27.23,21.64,14.72,56.12,53.21,23.32,1.12,1.06,1.07,0.96,0.6,90.7,64.57,41.81,34.29,31.55,46.3,46.05,12.14,10.7,5.06,3.47,-0.25,-0.25
2025-02-01 16:31:59.078,104.49,67.69,41.27,11.35,11.1,8.94,6.13,3.92,1.44,20.51,12.09,26.17,20.58,14.49,52.84,50.55,22.47,1.2,1.06,1.23,0.84,0.64,92.33,66.21,41.81,34.91,32.16,47.12,39.51,11.4,9.68,4.7,3.31,-0.25,-0.25
2025-02-01 16:31:59.328,105.71,70.95,43.3,11.02,10.93,8.69,6.05,4.25,1.28,20.72,11.07,26.34,21.15,14.7,50.58,50.96,22.55,1.08,0.94,0.95,0.72,0.48,94.78,70.71,46.9,37.16,34.19,49.98,39.91,11.32,9.72,4.74,3.39,-0.25,-0.25
2025-02-01 16:31:59.578,97.95,72.58,42.49,11.59,11.01,9.67,7.02,5.23,1.28,21.33,12.5,26.58,20.9,14.98,49.76,51.57,23.28,1.16,1.1,1.15,0.92,0.6,92.74,68.67,45.88,36.34,33.38,49.16,38.69,11.32,9.72,4.66,3.14,-0.25,-0.25
2025-02-01 16:31:59.828,95.08,73.8,44.32,11.51,10.93,9.59,7.19,4.82,1.44,24.39,12.3,27.8,22.29,15.56,48.53,49.12,24.09,1.24,1.35,1.27,1.0,0.69,89.48,68.26,46.49,37.16,34.6,47.53,37.05,11.89,10.33,4.82,3.35,-0.25,-0.25
